INSTNM,STABBR,PREDDEG,ST_FIPS,REGION,SAT_AVG,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,COSTT4_A,AVGFACSAL,C150_4,PFTFTUG1_EF,C150_4_WHITE,C150_4_BLACK,C200_4,PCTFLOAN,DEBT_MDN
Alabama State University,AL,3,1,5,825,4704,0.0138,0.9337,0.0111,0.0028,0.0013,0.0004,0.0111,0.0159,0.01,19242,7952,0.2165,0.8679,0.3636,0.2168,0.2865,0.8113,15738
Stillman College,AL,3,1,5,765,628,0.0382,0.9506,0.008,0.0016,0,0,0,0.0016,0,20737,5060,0.1787,0.5896,0.125,0.1835,0.2192,0.9039,12500
Hendrix College,AR,3,5,5,1287,1315,0.7392,0.0586,0.0471,0.0471,0.0061,0,0.0304,0.0395,0.0319,56050,7698,0.6923,0.9805,0.7385,0.4286,0.7558,0.5038,21500
John Brown University,AR,3,5,5,1173,1661,0.7483,0.0283,0.0439,0.0151,0.0096,0.0006,0.062,0.0566,0.0355,36782,6781,0.646,0.6358,0.6491,0.5,0.6156,0.4459,16795
University of Arkansas,AR,3,5,5,1170,22254,0.7652,0.0479,0.0818,0.0244,0.0107,0.0009,0.0336,0.0305,0.0051,21817,9298,0.6447,0.7797,0.6652,0.4839,0.654,0.3905,14181
Harding University,AR,3,5,5,1135,4377,0.8223,0.045,0.0315,0.0064,0.0071,0,0.0238,0.0633,0.0007,27627,7373,0.6377,0.8379,0.6533,0.2,0.6667,0.5573,19692
Ouachita Baptist University,AR,3,5,5,1116,1477,0.8389,0.0792,0.0427,0.0088,0.0061,0.0007,0.0014,0.0223,0,34740,6270,0.7044,0.8758,0.7257,0.5,0.5817,0.578,14607.5
Lyon College,AR,3,5,5,1099,683,0.7365,0.06,0.0747,0.0205,0.019,0,0,0.0278,0.0615,35454,6492,0.3939,0.8547,0.3701,0.4,0.4902,0.614,12000
Arkansas State University-Main Campus,AR,3,5,5,1090,9128,0.7406,0.1357,0.0255,0.0081,0.003,0.0005,0.021,0.0582,0.0073,20872,7016,0.4545,0.639,0.4818,0.3195,0.4056,0.5281,12500
University of Central Arkansas,AR,3,5,5,1082,9082,0.6554,0.1741,0.0513,0.0206,0.0054,0.001,0.0352,0.0518,0.0053,20052,6882,0.4168,0.735,0.469,0.2493,0.4357,0.5051,12000
Henderson State University,AR,3,5,5,1030,3048,0.6604,0.2346,0.043,0.0075,0.0039,0.0007,0.0335,0.0141,0.0023,20331,5808,0.3363,0.7613,0.3676,0.232,0.3707,0.4989,11000
University of Arkansas at Little Rock,AR,3,5,5,1029,7023,0.4932,0.2694,0.0814,0.0231,0.0028,0,0.1018,0.0212,0.007,21392,7683,0.3045,0.4165,0.3297,0.2333,0.2729,0.4446,12375
Central Baptist College,AR,3,5,5,1018,731,0.7059,0.2107,0.0274,0.0014,0.0096,0.0027,0.0082,0.0274,0.0068,23491,5252,0.2914,0.6146,0.3089,0.1538,0.3913,0.5789,13996.5
University of the Ozarks,AR,3,5,5,999,672,0.5908,0.0655,0.1086,0.003,0.0089,0.003,0.0476,0.1414,0.0313,36207,6502,0.4167,0.8077,0.4013,0,0.4821,0.5131,6500
Southern Arkansas University Main Campus,AR,3,5,5,989,3012,0.6414,0.2736,0.0312,0.008,0.0063,0.0076,0.0007,0.0312,0,20696,6762,0.353,0.8004,0.4101,0.2537,0.3808,0.495,9500
Williams Baptist University,AR,3,5,5,970,434,0.8157,0.0922,0.0323,0,0.0023,0.0023,0.0115,0.0438,0,26649,5408,0.3522,0.774,0.351,0.3333,0.4266,0.6303,11952
University of Arkansas at Pine Bluff,AR,3,5,5,894,2711,0.0428,0.9141,0.0184,0.0033,0.0011,0,0.0066,0.0122,0.0015,16319,5850,0.2359,0.8074,0.4444,0.2334,0.292,0.6578,12250
Ecclesia College,AR,3,5,5,845,265,0.6943,0.0755,0.1283,0.0113,0.0264,0.0075,0.0151,0.0377,0.0038,29488,1333,0.1163,0.5752,0.1923,0,0.0323,0.3031,7500
Arizona State University-Tempe,AZ,3,4,6,1147,42224,0.5081,0.0384,0.1958,0.071,0.0112,0.0023,0.0401,0.1264,0.0066,23931,11068,0.6736,0.7126,0.6841,0.5771,0.6622,0.4095,14000
Arizona State University-Polytechnic,AZ,3,4,6,1139,3861,0.5452,0.044,0.2046,0.057,0.014,0.0041,0.0433,0.0811,0.0067,22947,8349,0.6127,0.5,0.6164,0.3846,0.623,0.484,14000
Prescott College,AZ,3,4,6,1089,351,0.7037,0.0142,0.0712,0.0114,0.037,0,0.0712,0.0085,0.0826,39865,3236,0.3099,0.4123,0.2593,0.3333,0.427,0.5614,14962
Arizona State University-Downtown Phoenix,AZ,3,4,6,1081,9232,0.4989,0.0609,0.2944,0.0518,0.023,0.0018,0.0419,0.0198,0.0075,24109,8855,0.6722,0.5367,0.7421,0.6176,0.5993,0.5391,14000
Arizona State University-West,AZ,3,4,6,1078,3201,0.4736,0.0578,0.3112,0.0531,0.0128,0.0025,0.0381,0.0428,0.0081,20052,8566,0.6549,0.3955,0.6614,0.5714,0.6141,0.5488,14000
Arizona Christian University,AZ,3,4,6,963,684,0.5117,0.1506,0.1988,0.0088,0.0073,0.0073,0.0629,0.0263,0.0263,36297,5471,0.3562,0.4962,0.28,0,0.6119,0.6457,9500
California Institute of Technology,CA,3,6,8,1555,979,0.286,0.0143,0.1185,0.427,0,0,0.0633,0.0909,0,63471,19190,0.9364,0.9833,0.9231,0.8,0.928,0.1469,11500
Harvey Mudd College,CA,3,6,8,1496,829,0.3559,0.0302,0.158,0.193,0.0036,0.0048,0.0953,0.111,0.0483,69355,13165,0.933,0.9817,0.9223,1,0.901,0.3939,21254
Stanford University,CA,3,6,8,1476,7032,0.3619,0.0639,0.1588,0.2068,0.0107,0.0034,0.0995,0.091,0.004,64477,22146,0.939,0.9781,0.9466,0.9098,0.9607,0.1031,10873.5
